"country_name","country_id","year","v2x_polyarchy","e_gdppc","e_pop","e_total_oil_income_pc","e_regionpol_6C","v2svindep","v2x_polyarchy_lag","e_gdppc_lag"
"Mexico",3,1821,0.12,1.057,708.553,NA,2,1,0.07,1.059
"Mexico",3,1822,0.122,1.06,713.231,0,2,1,0.12,1.057
"Mexico",3,1823,0.185,1.059,714.587,0,2,1,0.122,1.06
"Mexico",3,1824,0.184,1.058,720.703,0,2,1,0.185,1.059
"Mexico",3,1825,0.184,1.062,728.179,0,2,1,0.184,1.058
"Mexico",3,1826,0.184,1.066,728.177,0,2,1,0.184,1.062
"Mexico",3,1827,0.184,1.066,734.91,0,2,1,0.184,1.066
"Mexico",3,1828,0.184,1.073,741.883,0,2,1,0.184,1.066
"Mexico",3,1829,0.184,1.077,743.063,0,2,1,0.184,1.073
"Mexico",3,1830,0.184,1.083,746.907,0,2,1,0.184,1.077
"Mexico",3,1831,0.153,1.085,750.299,0,2,1,0.184,1.083
"Mexico",3,1832,0.165,1.085,755.957,0,2,1,0.153,1.085
"Mexico",3,1833,0.184,1.083,760.382,0,2,1,0.165,1.085
"Mexico",3,1834,0.184,1.088,766.241,0,2,1,0.184,1.083
"Mexico",3,1835,0.184,1.092,772.089,0,2,1,0.184,1.088
"Mexico",3,1836,0.184,1.086,774.805,0,2,1,0.184,1.092
"Mexico",3,1837,0.165,1.079,780.33,0,2,1,0.184,1.086
"Mexico",3,1838,0.165,1.087,790.175,0,2,1,0.165,1.079
"Mexico",3,1839,0.165,1.078,794.834,0,2,1,0.165,1.087
"Mexico",3,1840,0.165,1.07,800.585,0,2,1,0.165,1.078
"Mexico",3,1841,0.158,1.071,802.968,0,2,1,0.165,1.07
"Mexico",3,1842,0.188,1.07,802.944,0,2,1,0.158,1.071
"Mexico",3,1843,0.23,1.077,807.38,0,2,1,0.188,1.07
"Mexico",3,1844,0.23,1.076,808.051,0,2,1,0.23,1.077
"Mexico",3,1845,0.23,1.078,811.456,0,2,1,0.23,1.076
"Mexico",3,1846,0.191,1.078,813.128,0,2,1,0.23,1.078
"Mexico",3,1847,0.215,1.079,820.974,0,2,1,0.191,1.078
"Mexico",3,1848,0.23,1.074,823.762,0,2,1,0.215,1.079
"Mexico",3,1849,0.23,1.075,825.523,0,2,1,0.23,1.074
